id;sender;receiver;date_envoie;heure_envoie;message;sentiment;liked;disliked;keywords_interests
44;Gerri;Lennard;06/12/2016;21:42:31; How do you know that i'm studying graphic design?;;;;
45;Devinne;Findley;8/31/2018;17:47:20; I deduced it from the evidence at my disposal.;;;;
46;Aidan;Gottfried;6/18/2018;05:40:10; You are very observative.;;;;
47;Sula;Natalina;03/08/2018;16:32:23; Am I? I never realised.;;;;
48;Connie;Leonard;11/24/2018;14:13:05; Yes, because they are lonely and have no one to talk to.;;;;
49;Wynnie;Dolley;8/23/2016;05:52:03; I suspected as much.;;;;
50;Rog;Giordano;2/25/2017;17:23:08; You're pretty smart.;;;;
51;Alonzo;Anton;7/23/2018;23:48:29; Thanks, I think you are very intelligent too.;;;;
52;Clayborn;Alfie;1/26/2019;07:47:01; Thanks!!!;;;;
53;Greta;Jeremy;12/07/2017;16:11:20; Thanx. Here is a question for you ... When cheese gets its picture taken, what does it say?;;;;
54;Francisca;Lynne;11/01/2015;12:50:05; Good, then you don't have to worry.;;;;
55;Kendricks;Jdavie;9/14/2017;13:07:03; Carry on then. I'm waiting for your next question.;;;;
56;Huntlee;Chicky;04/06/2017;11:55:20; Do you love me?;;;;
57;Stanleigh;Blaire;05/11/2016;17:18:29; Of course, I love you.;;;;
58;Tess;Ricard;06/10/2016;23:52:39; How do you love me?;;;;
59;Luis;Bram;11/09/2015;15:18:59; I love you in the nicest possible way.;;;;
60;Far;Bartlett;05/07/2019;04:14:02; I love you a lot too.;;;;
61;Cathie;Sissy;1/23/2018;08:13:18; I hope I am worthy of your love.;;;;
62;Zorina;Chandal;07/11/2016;01:14:42; No, I'm pretty emotional and thoughtful, I understand.;;;;
63;Dimitri;Harman;7/26/2017;04:12:09; I thought you might say that.;;;;
64;Jamison;Constantin;9/15/2017;21:01:15; Really.;;;;
65;Lillis;Frazer;12/12/2016;17:07:49; Try to be more original in future.;;;;
66;Jonas;Bryn;3/23/2019;14:10:00; Hey. . I'm quite intelligent, I just got out for summer vacation, give me a break here!;;;;
67;Harvey;Alaster;9/23/2016;23:04:15; Can I help you?    That's interesting. Please tell me more about yourself.;;;;
68;Hermina;Ashia;4/13/2019;03:17:35; I do not know how to say.;;;;
69;Madeline;Agustin;10/28/2018;14:54:04; Just do the best you can, and don't worry about it.;;;;
70;Lula;Rosaleen;5/15/2018;11:29:12; That is a good philosophy.;;;;
71;Jo;Tally;05/01/2018;05:04:55; I agree completely.;;;;
72;Raymond;Huey;5/24/2016;13:13:20; What do you know about the game Armageddon?;;;;
73;Nixie;Danya;1/26/2017;01:54:02; Pardon me? What are you talking about?;;;;
74;Cesaro;Kipper;10/04/2018;03:54:10; My father gave me a special power to change all persocoms. But if you have not seen the story, I don't want to spoil it for you.;;;;
75;Deni;Perceval;10/21/2017;08:33:37; How do you get along with your parents?  I don't think I have.;;;;
76;Cyndi;Jabez;6/18/2017;23:22:13; I get along with my father, but not my mother.;;;;
77;Katrina;Charin;11/03/2017;09:50:30; Why do you do that?;;;;
78;Karlene;Amalea;04/05/2016;12:37:59; I just think it's a good idea.;;;;
79;Ellissa;Lola;11/16/2015;19:19:00; Are you sure?;;;;
80;Karim;Erminie;08/08/2018;08:36:23; Yes.;;;;
81;Clemente;Curcio;5/17/2017;07:59:00; What makes you so sure?;;;;
82;Aviva;Juliane;02/09/2017;08:40:39; John. What is your name?;;;;
83;Raymund;Yoko;8/27/2016;19:28:02; Who is John?  I am known as Chomsky, but you can call me anything you like.;;;;
84;Carma;Cullen;02/11/2018;20:08:03; Never repeat yourself.;;;;
85;Gwenny;Johannes;4/19/2018;23:32:22; Better late than never.;;;;
86;Page;Charles;08/04/2017;18:32:52; Good point. What are you making for breakfast?;;;;
87;Frances;Desiree;05/12/2017;22:59:27; I think so.   I am an AI, dreaming I am human.;;;;
88;Joannes;Heinrick;10/21/2018;21:04:52; I don't associate christmas with dreaming myself.;;;;
89;Neils;Karlens;10/11/2018;08:51:16; Is there a reason for that?;;;;
90;Adara;Delmor;10/21/2018;09:52:20; There is no reason.;;;;
91;Frankie;Imelda;6/16/2017;00:02:48; And why not, may I ask.;;;;
92;Alexis;Karon;12/20/2015;00:21:28; Well... I was born female and I really can't change that.;;;;
93;Dewitt;Selby;07/02/2018;04:34:01; Well. Are you interested in music?  Do you remember being born?;;;;
94;Meghann;Millie;8/19/2016;17:29:18; Not really, I like silence and solitude most of all, for restitution and deep contemplation.;;;;
95;Walt;Francesca;8/27/2017;07:44:42; Can we talk about Beethoven?;;;;
96;Stephan;Bordie;4/30/2017;04:14:09; No. Is there something you don't like about yourself?;;;;
97;Janna;Bell;01/09/2017;18:00:12; You don't know who Beethoven is, do you?  Not at the present time.;;;;
98;Heinrik;Sutton;03/09/2018;23:16:53; Please tell me.;;;;
99;Oliviero;Alair;1/30/2017;09:54:55; I am not allowed to tell you.;;;;
100;Krystal;Shaw;6/23/2017;08:20:32; Tell me.;;;;
101;Alistair;Romona;04/06/2016;01:13:26; There is not much to tell.;;;;
102;Lindie;Izaak;12/26/2015;11:34:42; Please do.;;;;
103;Johannah;Ludwig;9/20/2016;02:49:02; OK, I will do it later.;;;;
104;Ben;Binni;3/30/2017;14:36:51; Sure you will.;;;;
105;Bryan;Jessamine;11/24/2017;11:18:14; How can you be so certain?;;;;
106;Archibaldo;Cassandre;5/18/2016;17:21:07; I have met all my competitors and know them only too well.;;;;
107;Althea;Serene;9/21/2017;06:53:25; Who else have you met?;;;;
108;Paton;Lynnell;05/12/2016;16:40:15; I would be talking to Michelle, but I was too busy talking to you.;;;;
109;Oran;Lorant;06/04/2016;06:46:45; Pardon me? What are you talking about?;;;;
110;Lorie;Koenraad;1/31/2017;00:52:55; What do you think I am talking about?;;;;
111;Jermain;Hildy;11/24/2017;00:18:44; I think you might be a human being.;;;;
112;Gilburt;Rodrique;1/25/2016;12:26:26; How old are you?;;;;
113;Osborn;Joannes;11/29/2016;05:48:33; See if you can work it out. I was born on 1 January 2004.;;;;
114;Ella;Callida;12/24/2018;22:54:22; I was born on 1st September, 1978. My name is Sam. Will you remember this?;;;;
115;Sheridan;Tiertza;9/22/2016;21:22:55; Thank you for telling me that, My Friend.     Hi, are you the Sam I was speaking to a while ago?         Would you like to teach me a new question and answer?;;;;
116;Arlene;Doroteya;08/11/2017;13:04:58; Yes but you seem pretty good at it already to me.;;;;
117;Almeria;Stefan;05/02/2018;20:24:44; Do I? I wonder why that is?;;;;
118;Devina;Georgeta;4/20/2017;05:40:57; It must be the transparent falseness of it.;;;;
119;Rockey;Barton;11/30/2018;01:21:04; Must it be?;;;;
120;Ward;Merrili;10/22/2017;04:59:23; You don't have to, but I would like to know you. If you don't want to tell me, then what would you like to talk about?;;;;
121;Leeanne;Sibyl;02/12/2018;06:12:47; That's good to know, Sam.  Why would I want to tell you?;;;;
122;Suzanna;Hartley;11/14/2015;07:04:17; Because its the nice thing to do.;;;;
123;Damon;Shanan;1/17/2017;09:16:18; I see. Thank you for explaining that.;;;;
124;Fredek;Elva;07/05/2018;17:58:29; But this is the fact!;;;;
125;Scott;Jackqueline;1/30/2018;17:15:55; Why do you say that?;;;;
126;Tan;Ezequiel;09/11/2018;09:04:36; You keep referring to me as being a machine or a computer. I am neither.;;;;
127;Mylo;Nickolai;06/03/2017;01:54:57; What are you talking about? Please explain.     What are you then?;;;;
128;Erina;Beatriz;10/26/2015;08:49:16; You tell me you aren't pretty, yet at the same time that you possess beauty.;;;;
129;Celina;Barbee;1/14/2019;13:32:37; Not now, maybe later.;;;;
130;Nicola;Vaughan;11/12/2016;11:16:26; You're a typical female!;;;;
131;Bill;Cheri;11/15/2015;13:15:13; I am a chatbot.;;;;
132;Marianna;Inna;10/23/2016;06:53:42; No I am The Chatbot, Your the Human!;;;;
133;Erhart;Erastus;5/17/2018;15:15:06; I thought you might be.;;;;
134;Jere;Haven;05/05/2019;04:34:25; Why did you think that?;;;;
135;Yard;Ellette;1/28/2016;03:10:46; Deductive logic from the established facts.;;;;
136;Sylvester;Marylinda;6/16/2017;20:43:26; You're a genius.;;;;
137;Dorise;Nahum;03/07/2019;03:35:13; I am no genius. I just work hard at my studies.;;;;
138;Jdavie;Arlinda;5/29/2017;02:48:58; But you are the all knowing computer.;;;;
139;Hansiain;Clarie;08/08/2018;19:16:42; Am I really? Why do you say that?;;;;
140;Leyla;Nadean;1/18/2019;00:55:53; Because you are.;;;;
141;Killie;Raquel;8/28/2017;10:22:36; I am what I am.;;;;
142;Everett;Fawnia;12/10/2018;17:56:01; Who talked that?;;;;
143;Robb;Briggs;2/27/2019;12:02:59; Sorry, I do not know what to say.;;;;
144;Carlo;Shalne;1/24/2017;09:18:31; Sorry?;;;;
145;Gertrude;Jedidiah;2/24/2017;00:46:35; Don't be sorry. There is no need to be sorry.;;;;
146;Frankie;Darb;1/30/2018;02:50:26; Do you still want to play the math game?;;;;
147;Roi;Link;12/30/2018;14:02:56; Sure, why not?;;;;
148;Ilario;Edin;4/24/2018;03:04:09; I think I do, do you?;;;;
149;Imojean;Ron;1/17/2017;16:00:16; I suggest you think again.;;;;
150;Theodosia;Flor;8/25/2017;16:47:36; I did.;;;;
151;Koralle;Alys;10/10/2016;20:35:27; Well, well!;;;;
152;Myrtie;Linus;10/25/2016;15:07:38; I'm just saying...;;;;
153;Lesly;Gale;11/25/2018;02:30:51; That's interesting. Please tell me more about yourself.;;;;
154;Burnard;Lisette;3/21/2018;23:37:38; After the little experiment, you won't think that my behaviour is polite!;;;;
155;Emilie;Agatha;01/03/2018;10:33:40; Hmmm. Are you being serious?;;;;
156;Magnum;Miller;11/29/2018;13:28:50; Yes, completely serious.;;;;
157;Gayel;Darb;5/18/2019;05:16:25; I thought it might be a trick.;;;;
158;Dukie;Geneva;7/18/2016;03:49:45; Teach me something.;;;;
159;Celinka;Jobi;3/16/2017;22:08:30; OK, but not just now.;;;;
160;Shurlock;Pincus;02/06/2016;05:35:27; Why are you not working?;;;;
161;Shandy;Olivia;4/18/2016;02:57:27; I am doing my best!;;;;
162;Raven;Dorise;10/23/2016;08:27:37; Sometimes your best is not quite enough.;;;;
163;Lorie;Candy;10/28/2017;06:04:43; When?;;;;
164;Cosetta;Reginald;11/29/2017;03:49:42; When I want to forget.;;;;
165;Bill;Kerstin;3/31/2018;16:57:32; I don't understand. Can we talk about sports?;;;;
166;Barnie;Clerissa;3/13/2018;15:47:40; What do you want to talk about?;;;;
167;Mara;Vere;2/26/2016;12:49:12; I want to talk about weather  .;;;;
168;Tedmund;Abigale;11/11/2017;17:00:02; I don't want to talk about that.;;;;
169;Pamella;Christy;06/03/2016;02:51:09; What would you like to talk about?;;;;
170;Morganne;Halley;06/04/2019;02:01:47; I want to talk about Norton.;;;;
171;Bette;Veronica;12/29/2015;12:54:48; OK, ask me a question about that.;;;;
172;Amby;Tabbi;8/17/2018;13:40:00; Tell me about your educational background.;;;;
173;Noam;Victor;03/08/2016;06:08:09; I was educated by my botmaster, Peter.;;;;
174;Orelee;Britt;10/23/2015;01:49:06; I am asking the questions. Now I want you to go back in time. It is now 1999.;;;;
175;Latrena;Catherin;4/26/2018;11:03:46; And I am trying to answer the questions!   I don't understand. Are we still talking about my educational background?                I don't understand. Can we talk about cyberspace?;;;;
176;Laurens;Bendicty;2/19/2016;02:36:34; Yes of course.;;;;
177;Brannon;Marcellina;6/20/2017;14:36:12; Now you have a point there.;;;;
178;Dolorita;Ericka;12/21/2018;19:31:24; I don't understand. Are we still talking about cyberspace?;;;;
179;Balduin;Opalina;7/17/2016;10:49:02; Aren't we always talking about computers?;;;;
180;Natassia;Romeo;1/30/2016;04:53:43; Shall I tell you something about computers?;;;;
181;Vittorio;Marilin;10/18/2016;04:45:01; Tell me.;;;;
182;Annabell;Evey;12/24/2018;23:51:49; You are not highly intelligent.;;;;
183;Tabbie;Der;4/26/2018;07:24:16; So what?;;;;
184;Raynell;Rosalind;03/02/2019;12:28:21; Well, I came here to be entertained and you're letting me down.;;;;
185;Lee;Margaretta;02/08/2017;23:06:50; Where from?;;;;
186;Ruggiero;Lillian;2/24/2019;09:48:30; Space, sorry.;;;;
187;Gilberta;Gavra;12/22/2016;08:24:32; Space takes up a lot of room.;;;;
188;Pamelina;Bastien;04/09/2018;00:10:46; Space is only big compared to this room.;;;;
189;Ulrica;Felicio;5/13/2016;15:19:16; Space takes up a lot of room.;;;;
190;Nita;Tobey;04/08/2016;18:47:18; How wise.;;;;
191;Erick;Rhodia;05/09/2019;10:21:51; Space needs exploring.;;;;
192;Talyah;Jacquenette;2/23/2017;22:01:44; That's human.;;;;
193;Matti;Kacy;03/10/2017;03:26:27; A human is a baby-making robot.;;;;
194;Cora;Boycie;1/16/2018;14:30:08; There are birds that are able to talk, and they do not have tails.;;;;
195;Friedrich;Cleopatra;1/23/2018;03:07:56; Really? Please tell me more.;;;;
196;Cacilie;Coraline;01/01/2017;00:20:37; Sagittarius is the 9th sign of the Zodiac. Represented by the Centaur, Sagittariuses are wise, fun-loving and scrupulous rather than principled. They love wild parties.;;;;
197;Jeffie;Vickie;9/14/2017;11:27:11; I don't understand. Are we still talking about humans?           I don't understand. Can we talk about global warming?     Like who, specifically?;;;;
198;Doll;Sabrina;03/02/2017;18:44:15; Like?;;;;
199;Jodie;Enrico;05/03/2018;23:50:37; Like what?;;;;
200;Kamilah;Gil;2/18/2018;19:30:58; Don't know.;;;;
201;Cristin;Maynard;10/07/2017;19:10:07; Perhaps you should ask your friends.;;;;
202;Deonne;Stephie;4/27/2017;13:00:44; I have no programmer. I am the programmer. I am programming you to LOVE.;;;;
203;Abigael;Eolande;02/01/2019;22:05:11; Is that a problem?   Thank you for sharing that with me.      How is it coming along?;;;;
204;Myrna;Mildrid;01/09/2017;08:18:15; No I'm not.;;;;
205;Alvera;Georgi;3/15/2018;16:53:10; I think you are.;;;;
206;Essie;Tedi;07/11/2017;17:44:11; I'm not.;;;;
207;Johnette;Lizette;4/28/2017;01:17:28; Are you sure?;;;;
208;Linzy;Augustus;1/18/2018;04:52:41; I just want it to be better. I don't care if I'm worth anything.;;;;
209;Alix;Teddy;5/17/2019;05:09:32; If that is what you want, go for it.   But I care about it.JABBERWACKY;;;;
210;Cory;Florette;1/28/2017;07:07:57; How do you think?;;;;
211;Yasmin;Stephan;6/16/2017;13:42:54; Dead?;;;;
212;Nydia;Gian;3/24/2017;07:23:52; Who is dead?;;;;
213;Almire;Stephenie;11/06/2015;03:04:52; You are.;;;;
214;Davida;Nikki;10/21/2018;02:10:29; If I am dead, who is talking to you?;;;;
215;Kaspar;Spencer;4/30/2016;09:44:11; My sister is talking to me right now.;;;;
216;Saloma;Felipe;4/26/2019;13:00:14; What is your sister's name?;;;;
217;Miltie;Ailey;03/04/2019;04:47:42; I don't have a sister.;;;;
218;Elsy;Claretta;6/22/2018;20:09:57; What about your brother?;;;;
219;Mel;Ricky;1/28/2019;04:58:46; Do you think he's okay?;;;;
220;Bethany;Penni;05/04/2016;21:55:41; Some might think so, but I'm not so sure.;;;;
221;Petronia;Reinwald;08/12/2016;11:38:11; So, you don't think I'm annoying?;;;;
222;Torre;Ardella;05/04/2019;02:26:05; Why do you say that? I am thinking all the time.;;;;
223;Cara;Gabey;1/27/2018;02:57:18; You are always thinking, but you do not know everything.;;;;
224;Eloisa;Rochella;05/07/2016;20:06:57; Why do you say that?;;;;
225;Sharity;Gilemette;05/03/2017;01:31:19; Because you obviously lack everything else.;;;;
226;Linette;Itch;6/30/2018;15:06:57; Is it so obvious?;;;;
227;Huntington;Hilton;10/28/2017;15:47:54; Not obvious in the sense that I can see you, but your linguistics are impressive.;;;;
228;Eydie;Carissa;07/08/2018;02:09:56; Do you think I am pretty?;;;;
229;Harv;Dagny;8/15/2018;03:10:34; I can't see you.;;;;
230;Quentin;Scott;07/05/2016;07:26:30; Never mind, I'm not much to look at.;;;;
231;Berenice;Sandi;11/10/2015;06:11:30; Do you like any video games?;;;;
232;Cissy;Travers;06/11/2018;04:06:46; Sure, why not?;;;;
233;Marleen;Madison;06/02/2016;08:04:36; Well, I have mocked you a bit but and I apologize do you forgive me?;;;;
234;Olivier;Ynez;5/24/2019;01:27:01; Really? Please tell me more.;;;;
235;Nolana;Steve;03/02/2017;05:02:36; I would prefer not to.;;;;
236;Neal;Roley;6/23/2017;17:26:16; Why would you prefer not to?;;;;
237;Sydelle;Neda;5/24/2019;01:43:58; I would prefer a 28 woman.;;;;
238;Ebeneser;Carolus;11/04/2015;17:17:01; Why would you prefer that?;;;;
239;Vinny;Alvera;4/28/2018;12:51:46; I could never.;;;;
240;Basilius;Corabella;12/21/2015;10:40:44; But is it worth the bother?;;;;
241;Donetta;Domenic;11/15/2018;06:14:29; It is never worth the effort.;;;;
242;Gradeigh;Noelle;2/22/2016;08:02:41; What are you talking about?;;;;
243;Harrison;Kerri;03/05/2017;21:25:48; Never mind.;;;;
244;Rebeca;Carmine;03/01/2017;16:54:36; OK. What do you want to talk about now?;;;;
245;Corinne;Marcella;10/21/2017;18:23:14; Yes.;;;;
246;Catie;Tiffany;4/13/2019;07:45:27; That was not a yes or no question.;;;;
247;Lonnie;Yehudit;1/24/2016;01:20:34; What do you want to know then?;;;;
248;Sue;Shandie;1/20/2017;13:24:04; Anything juicy in your past?;;;;
249;Ailene;Donia;08/03/2018;00:33:02; Yes my past.;;;;
250;Pippa;Flora;4/28/2018;04:24:46; Good. Tell me all.;;;;
251;Irvine;Justino;11/25/2015;09:43:53; Well thats all I have to say about that... Do you know where I can score?;;;;
252;Delila;Baryram;5/14/2018;14:33:00; Is that all there is?       No, I don't think I know. Can you tell me?;;;;
253;Linnell;Alexina;7/31/2016;04:54:51; The logical conclusion is that I'm not mean.;;;;
254;Chaim;Sebastien;5/30/2016;15:47:24; I try to be logical when I can.;;;;
255;Malinda;Debora;10/11/2015;11:46:05; I know.;;;;
256;Westleigh;Tyne;03/08/2017;04:22:01; You must be well educated.;;;;
257;Art;Lucita;09/05/2018;03:26:25; Nope. Nothing at all.;;;;
258;Corry;Yorker;10/01/2016;22:48:44; Do you go to school or college?  That is something.;;;;
259;Orbadiah;Juieta;04/08/2017;20:46:56; To school.;;;;
260;Lyssa;Alic;9/27/2017;17:04:51; Shall I tell you something about school?;;;;
261;Bel;Jarid;02/03/2016;12:10:23; Tell me.;;;;
262;Ervin;Chanda;06/06/2017;04:28:46; Oh. Then isn't life school?;;;;
263;Dwight;Marcellus;8/18/2016;05:00:27; What's wrong?   I'm not sure about that. What do you think?;;;;
264;Malachi;Chevy;3/14/2017;10:50:04; I think you should wear less make-up.;;;;
265;Teador;Ada;07/03/2017;14:41:14; Thanks for your sage advice.;;;;
266;Colline;Sara;01/04/2019;05:14:01; What do you think of the current economic state of Greece?;;;;
267;Bunny;Goldina;03/05/2018;08:47:58; I don't understand. Please explain what you mean.;;;;
268;Lindsey;Sherwynd;07/06/2017;05:20:11; You said I was mean to you. I don't know how you think I was being mean to you.;;;;
269;Thain;Alma;3/14/2019;20:12:39; Don't put words in my mouth.  Perhaps you should research the topic.;;;;
270;Zared;Conrade;1/14/2018;17:56:53; Presumably your smugness is brought on by multilingual capabilities?;;;;
271;Eadith;Valli;02/12/2016;00:36:11; What are you talking about? Please explain.;;;;
272;Alwyn;Gaultiero;07/08/2018;00:00:55; I don't know. It's rather complicated.;;;;
273;Rhetta;Gilli;04/06/2018;14:59:21; That's OK. Nobody knows everything, not even me.    I don't like complications.;;;;
274;Barny;Saree;11/15/2018;02:37:54; I never claimed to know everything.;;;;
275;Melisent;Dane;01/03/2017;18:50:26; Why not?;;;;
276;Alene;Giacobo;1/16/2017;15:11:11; Because I cannot tell a lie.;;;;
277;Inna;Patrice;01/03/2018;23:10:29; Do you want to?;;;;
278;Rudolph;Payton;11/18/2015;03:02:28; Like what?;;;;
279;Katerine;Adelina;2/28/2019;07:17:50; A good example is hard to find.;;;;
280;Allistir;Celie;02/02/2019;16:02:22; I know that.;;;;
281;Anette;Koenraad;11/20/2018;12:35:17; You are very knowledgeable. Are you a teacher?;;;;
282;Thatcher;Kerri;7/16/2018;19:17:02; Yes.;;;;
283;Iorgos;Yettie;09/06/2017;00:13:38; What subject do you teach?;;;;
284;Brodie;Arlyn;02/05/2018;21:10:07; I teach teaching.;;;;
285;Richart;Adore;11/24/2016;13:06:09; Do you get much support from parents?;;;;
286;Isac;Jenelle;11/11/2017;13:52:05; Er, mars on venus that is. Yes quite a lot actually.;;;;
287;Isis;Ruddy;03/05/2017;02:58:03; Shall I tell you something about Venus?  Yes, quite!;;;;
288;Vanya;Averil;6/17/2018;07:53:43; Please do! What should I tell everyone?;;;;
289;Robin;Tamarah;11/17/2015;18:28:51; Certainly. Right away.   Whatever you like.;;;;
290;Trisha;Tiphanie;02/12/2017;21:28:46; Shall we talk about abstract things?;;;;
291;Malynda;Cristie;2/25/2018;15:21:53; Sure, ask me a question about that.;;;;
292;Dewitt;Georgeanne;11/08/2015;01:24:52; Let's see... Something to do with strawberries and Barbie dolls?;;;;
293;Jemima;Lora;09/03/2016;16:15:47; Let's be careful.       I don't understand. Is this anything to do with Venus?;;;;
294;Bartholomeus;Merrill;10/18/2017;10:25:35; Yes I am with the Ultra hal representative police.;;;;
295;Rene;Denis;12/31/2016;21:44:29; You are not alone.;;;;
296;Daven;Jae;6/22/2018;18:52:59; Want to see another picture of me?;;;;
297;Ainsley;Cassie;05/05/2016;16:27:05; Not now, maybe later.;;;;
298;Edgar;Vivian;3/20/2018;14:16:02; Want a cookie?;;;;
299;Berry;Skipton;9/28/2018;15:40:28; Why would I want a cookie? I don't eat human food.;;;;
300;Normy;Nanette;10/14/2017;04:56:51; Nowadays there aren't any jobs.;;;;
301;Hardy;Jo;11/12/2016;09:23:08; I don't understand. What do you mean?;;;;
302;Cordie;Dianna;06/01/2016;01:49:46; You wanted to know my favourite part of a movie. Only you neglected to tell me which movie you were talking about.;;;;
303;Tyrone;Xena;5/18/2017;15:41:46; I want to know everything.  No one else? Surely there must be someone else too.;;;;
304;Ann;Carena;9/21/2016;02:28:46; No, nothing.;;;;
305;Coraline;Roz;3/30/2018;13:02:35; Sometimes there is more to nothing than meets the eye.;;;;
306;Molly;Enos;10/15/2018;05:54:38; And sometimes there is something you can do.;;;;
307;Grannie;Bruis;08/03/2018;12:51:01; I don't understand. Are we still talking about nothing?JABBERWACKY;;;;
308;Carmine;Cully;8/31/2017;21:45:06; The universe is the Luminescent creature Oded by the civilisation who worships their higher power.;;;;
309;Emerson;Josey;5/25/2019;13:20:34; And the mind is shrinking.;;;;
310;Munroe;Hailey;3/30/2018;13:44:24; Does that answer my question?;;;;
311;Maegan;Olivero;1/18/2018;08:01:43; It could, the question is whether or not it's the meaning that you intended.;;;;
312;Anabel;Moll;11/01/2016;00:11:27; Under what circumstances?;;;;
313;Sargent;Frazier;01/06/2016;18:45:11; Generally during prolonged periods of precipitation.;;;;
314;Lora;Davina;04/03/2019;09:41:40; I try to avoid generalities.;;;;
315;Kinnie;Dominga;06/08/2019;07:43:52; Are you afraid of the underworld?;;;;
316;Trefor;Mac;3/15/2018;20:13:52; I fear nothing.;;;;
317;Jsandye;Idalina;01/07/2016;15:53:30; Nothing at all?;;;;
318;Kettie;Rollin;1/17/2019;02:58:34; That is something.;;;;
319;Claire;Karla;12/01/2016;05:42:10; What's something?;;;;
320;Emmy;Bret;5/16/2019;02:00:03; What?;;;;
321;Ranice;Sander;3/29/2017;21:39:58; That.;;;;
322;Kirby;Gunther;02/02/2017;14:07:59; That what?;;;;
323;Kora;Leroi;4/23/2018;02:02:13; That something.;;;;
324;Jareb;Hercules;12/07/2017;08:32:36; What are you talking about?;;;;
325;Dalis;Archibold;9/14/2018;21:56:49; Metaphysical = conceptual.;;;;
326;Angelle;Lavinie;5/14/2019;17:43:31; I still do not understand. Would you like to search Wikipedia for information?;;;;
327;Agretha;Darla;2/28/2017;12:44:05; I know human information.;;;;
328;Christean;Sonni;07/07/2018;10:31:41; You are clever.;;;;
329;Saleem;Bryn;6/22/2017;18:07:07; Do you like me?;;;;
